Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2
1042,Positive,quick tour intrepid boyfriend little gem avenue expecting turned reservations door hostess eye downstairs table two waiting us downstairs low watt hanging ceiling soft warm walls appear strips know effect pleasing placed way far apart reach tap think working many tables flag times throughout meal worth wait mero sea pesto ordered size rice sweet viejo verde decided ceviche mixto assorted medley baby ate almost sorry sweetie ceviches fish smooth easy little kick sea bass nice flavor need knife cut rice unique sauce indescribably leave fail although chicken beans plaintains home unfortunately left behind sure left hoboken back pio will occur ,quick little expecting low hanging ,0,1
6531,Negative,ordered option weekday sunday supper many yelpers apparently thought mio disappointing allows one selected different including items decidedly oily let tell right service water always full plates never table seconds also complimentary mushroom oil ricotta spread served knock socks still say well par dessert tasty cappuccino stellar recommend ricotta raspberry kicker peppercorns ricotta know description decided trust one artful ever recalled modo recommend excessively oily arugula ordered oil used colander sieve item finish massive lamb better oil experience ruined every weeks one ingredient bitter see self returning time ever maybe way ever ,ordered weekday many apparently thought ,0,1
1423,Positive,suprised pittore seemingly painter exec chef reputation disappoint greeted also upstairs quiet similar noble updated server knowledgable offered additions person carb addict foccacia hint cheese fennel salted pastry antipasti crudo red snapper fig serrano pepper scallops beet puree oil initially strange delight flavor primi tortellini lobster black truffle however touch disappointed put finger licked plate clean tasted agnolotti proscuitto eaten several orders little filled order wanted dessert secondi bf got lamb entree addition fillet served white bean puree fan size dessert seriously nutella filled chocolate doughnuts fried served sweet vanilla dipping sauce apple warm gelati light apples delish go back gnocchetti ,also upstairs person pastry scallops ,0,1
8100,Negative,nice running place gets half full obvious need workers alternatives knew food expensive well came ct towns stamford add insult average best still korean food want oriental pantry cart school lunch open really craving good food end driving dinner ,half need food add insult ,1,1
1135,Positive,oh crying absolutely figuratively crying needs lobster pasta primo pizza treat pasta amazing homemade sounds plan water girl help understand ice times gave seems must comes service slow well ago still working kinks however arrival gladly return coming days amazing pasta sauce divine ,oh absolutely lobster amazing homemade ,1,1
2419,Negative,began dreaded question establishment require orientation certainly dishes largely pok bringing dishes thailand found also isan cuisine now northern thai open reflecting trendanista brooklynites thai guy portland dozen orientation sessions khao northern served small overwhelming mound noodles broth ratio seemed complex portland many dish original restaurant much catfish also one redeeming feature fresh herbs dish sauce well soft mango salad queens ,establishment orientation certainly found cuisine ,1,1
884,Positive,absolute honor reviewer phila upenn broken various rooms homey em makes safe handedly made winter bearable eyes tuaca toddie amish grilled sandwich fave tho dish organic experience someone meal philly without dog ,absolute various makes eyes grilled ,1,1
627,Negative,greek biyfriend hunting best octopuses afterv day starving yelp grilled octopus top see marked going pita bread delicious thanks welcome ever two sweet balsamic vinegar robbery pylos better taverna kyclades manhattan trick ,starving yelp top see going ,1,0
997,Positive,nights veins pumping whiskey search morning really good times service wine last four split hanger steak amazing excellent favor marrow marmalade start delicious fatty serves full best late night food city oh hip date late want john fan table music right ,really good wine last steak ,1,0
7062,Negative,company turned considered finest want flavorful york thin crust thin flavorful environment pretty bar good cocktails food falls somewhat flat ordered cauliflower pizza enough cauliflower florets larger expected kept pizza pizza florets bite good florets cheese kick think options fall bit shorter end think friends dishes try ,company turned want york pretty ,1,1
237,Positive,amazing rican food sofrito place puerto rican food uncle good swear perfection sooooo good honest try thing restaurants sofrito lot cheaper duhhhh service awesome staff sweethearts love ,amazing rican place puerto good ,1,1
3372,Negative,overrated clientele young local pabst affect taste omelette provolone spinach peanut french toast sausage top rosemary dry one plate another salt sausage salty hang cut generally morningstar farms breakfast veggie good vegetables tasty toast drowned fructose sauce peanut exactly service snooty snookie server seemed blind wait sunday advice call instead green eggs ,overrated local taste omelette provolone ,1,1
579,Positive,philadelphia starrrestaurant story starr creation experience bar ability produce visually stimulating lost sibling original hanging seating chairs resemble yoshi mario character matchless expect end dressed good mostly roof top bar worth self patrons sip aldrin mixture tang triple orange rimmed glass ,philadelphia story starr ability lost ,0,1
2268,Negative,went pj rufos food prepared find inspiring little frustrated though menu potato came neither pet peeve vegetarian said nothing menu sprinkled came send back severe restrictions divided bar room tvs hard quiet evening frustrating distracted unhelpful robotic meal going back choices good italian food area ,went food frustrated though menu ,1,1
238,Positive,overall maduros white rice red beans pollo pricing portion authentic delicious disappointment usually bit especially table expected take food go block community enjoy meal cash ,overall white rice beans pollo ,0,1
316,Negative,decor styled see one blindside average place someone diner chic image flock seems cuz still far since always really really love quaint little neighborhood character kitschy decor pop sometimes abbrasive owner mainly decor plastic flowers tacky framed famous every classic offer treats egg cash policy feeling timeless old skool enviroment kind fathom adjustments dishes always brings delicious hard find anymore say better waiting line clinton hill hipsters simple food dun things menu hopes finding especially good nothing even breakfast average things eggs simple nothing ever greasy foodie standards see neighborhood something better cafe believe cuz food blueberry pancakes good tasted box menu fare ask something time made deal fruit menu seemed baffle request typical diner even city qualified diner say everything makes either ordered roast beef holiday mood superior everyday year frame hanging well afraid damnit ,decor see one average someone ,0,0
478,Positive,love concept swinging basket chairs place much turkey perfectly definitely fake patty good twizzle martini fantastic also giving stars dinosaurs private party actually reasons even ,love swinging chairs place much ,1,1
1321,Negative,corned beef told yea happens sharp got dish two small happen anywhere else whatever kale good bit much lemon vinaigrette place food whole chicken thing servers lack let anything want two stars nice will take two stars northern spy better minute wait hype ,told happens got two else ,0,1
679,Positive,searching yelp today slots new listing caught eye hot place seemed sammies looked damn good called went planned sammie special grilled chucked fresh mozzarella nuff sandwhich awesome bursting freshness bonus offered free skewer melon ham years will ask next time ,new caught hot place damn ,0,0
2457,Negative,city full cheesteaks pretty rise head shoulders competition now cheesteaks much anymore mean hate fave mine taste philadelphia late defunct wizards still remains another steak shop ,city pretty rise competition now ,1,1
262,Positive,came sunday line soon got someone offered cool later us cookies minutes came offering try amazing going part french fries instead home fries ok one best comes take spicy boyfriend pancakes got rickey drink tried reviews workers service pretty quick although moves quickly come back way saw sign coney might give ,came line soon cookies offering ,0,0
3839,Negative,marabella company buddy night feelings polished vibe service excellent meatballs misses bowl will steep essentially fast food place consisting spaghetti eight sauce cheese bread absurd especially described box artisan past guessing box barilla meatball sampler costs worth meatballs crustini sandwich option change meatballs prepared individually away really worth effort bread differential scoop meatballs four separate fix star spot form stare focusing ,company service will fast food ,0,1
182,Positive,now taipei small privately hakka immigrants china besides egg pancakes milk little shop famous common breakfast fried cruller shao bing tiao fact specialty people line minutes morning buy one day decided try little see around morning placed end minutes arrived front line bark now manning griddle fried cruller wrapped please nin yiao ummm fried wrapped um panc highly eloquent retort simply skipped take right behind relegated visibly determined right time upon owner still preoccupied fragrant sesame buns managed whimper barely ge bing tiao brusquely shouted handling first crunchy goodness even owner shop sort taking order english food chinese ,small egg little shop fried ,0,0
6692,Negative,tip bring chair face anyone mean kardashian wannabe nyu fit loser yet trying really hard kids follow stand mix losers drinks way overrated kids hot ,tip face mean fit hard ,1,1
422,Positive,las bugambilias serving solidly nowhere near five three savored offering entire alcohol small fee away daily requirement went whole thought great heightening jewwy feel using type greeted door pleasantly already reservation four ready go us thank seriously living room definitely waited tables incredibly close small theme continues bathroom much larger degree bend look whatev saloon casual issue busiest ordered round sangrias pretty tasty okay liked pricetag order chips laughable restaurant end abnormal reasonable well highly recommend soups entrees really delish thought standout fuzzy probably entrees run total apps rounds drinks dollars savored really ask reminded made pretty expensive see worth experience yummy really need go ,las near offering small daily ,0,0
3307,Negative,trouble eat cantina offshoot tavern clearly kitchen opener brunch waitress name maria survived inhaling food going toilet vomit sideways disappeared magic show high bitter hollandaise accompaniment nothing sauce signifier breakfast romaine fresh plantains breakfast named number pool came remember veggie sausage charred laziness town vegetarian number ,eat tavern clearly brunch waitress ,0,1
724,Positive,another restaurant narrow streets les time thai pretty right now make reservation side menu plates large sides people recommend plates whatever thing pricy khao dishes large go cocktails think come occasions ,thai right make reservation side ,0,1
2248,Negative,overrated priced huge everything forget mention non alcoholic unless mix taste place crowded food good portions tiny cuban usually feeling full excited expectation left wanting feeling joint ,overrated priced huge forget mention ,0,1
915,Positive,love brew much indeed review way blue packets big really prefer open kill tofu scramble ok will poetic coffee good menu space induces strange relaxation response regular happy making morning friend fare counter cause really ,love much big really open ,1,1
2581,Negative,sabrinas staffed bunch space care already established recent check given minutes food waitress came see needed change times final ready friday morning meh admit french savory dishes well fritattas often southwestern trying together sit eat day nolib ,staffed bunch care already recent ,0,0
164,Positive,deciding powerhouses one tried unless alternate one possible hoagie first try one ate hungry well fault maybe providing clean bright tried walked since slightly meat though thought cheese better know actual steak first heart ever try even field see happens way blow next wiz baby ,try well clean bright slightly ,1,1
2317,Negative,glorious sunday morning upon entry two staff talking saying different things local immediately months ordered cold still convince enter aforementioned incident happened request server table hmm sit top table dirty owner believe asks want table back friends table aforementioned us table table greeted toast takes order smartly laugh major hangover home id ordering hour place says run home live policy think point car id especially offered bar table half full local ,glorious morning two talking saying ,0,0
282,Positive,stop new restaurants white plates artfully refreshing breath diner pork much girl sunday crave giant unpretentious eggs said long brunch really waiting seated minutes fed delicious bites line cookies coffee slices soccer practice silver dollar pancakes priced right coffee tea served mugs turkey sausage juicy delicious decor awesome great zillion silly newspaper clippings service friendly one complaint homefries pretty solved addition lot ketchup runny egg oily ,stop new white plates refreshing ,1,1
3055,Negative,voice rest chorus times really burger place totally new clothes now meat done ordered quality cheese expect caseus fromagerie fries heavenly now time went ordered something meat flavor excellent salty finish palate usually highly absolutely inedible sauce probably simmering long difference home server point inedible cleared oh okay uh happily hamburger ribs agreed ultimately forked half customer really offer something really ruined help leave really bad taste bad unapologetically snotty snotty snotty talking episode rude taking first time husband hostess open talk us window call reservation seriously stood outside called cellphone made reservation jackasses features number table something interesting go bistro fare might bring others fromagerie part caseus incomparable selection fine cheeses assorted elsewhere new also together great air festival arts shakespeare park fromagerie stars bistro service give line want reservation gods smiling go experience fuss ,rest times burger totally now ,0,0
207,Positive,plenty times since review terrific pumpkin biscuits loving visit attention creative sexy really orleans sazerac tuesday know better day one year celebratory nola gras fat tuesday took advantage tastes rinsed rye sugar cube cocktail yes every old fashioneds thursday dangerous anyway night celebrated holiday one tastiest morsels blackened gator stick vegan wings better per order tues fri wings either slathered sauce served helping brussels eater tastes else say sauce world wings better actual wing service rocks fishtown regular spot ,plenty terrific pumpkin visit really ,1,1
1678,Negative,review recent clinton way brunch remember awhile ago now wait food random least right ordered cakes side rings blt shrimp blt avocado thick bacon rest obviously crab fried asked fan small fried cut guess expecting place know comfort american food maybe brunch maybe ,review recent clinton way brunch ,0,0
195,Positive,looks place hit mainly hit still working friends reservations must since others arrived tables leave seater poor planning ended turning interested patrons digress crispy appetizer yes service come way something else entrees spice legitimate spice faint oddly pad see pad thai kinda set bigger got saw us wondering friend lemongrass soup tried bit take home another bowl take charge go open mind kill ,looks place hit must interested ,0,0
1186,Negative,else drink two view rest place harbor time got fried stuff save relative expense time confusion staff drinks order ended table order food boy comes water silverware table given signal wait stuff away whaaa order food drinks overlooking also place basically wednesday trek place stuff together food another new wrinkly ,else drink two view rest ,0,0
327,Positive,diner kind neighborhood secret flowers party lights funny ornaments hens two color wear timey go pumpkin ricotta cranberry goes usually stack saturdays line open time go weekdays ,diner neighborhood secret funny wear ,0,1
2320,Negative,intents purposes hate word though ever one definition establishment quality want food actually possible decent time food utter people enjoy drinking news flash people eat drinking around late going chef hoped menu fried black bean burger deep boom welcome somehow food managed one evening husband stopped drink got new appetizer grilled cocktail respectively ok first marrow dish microwaved previously shrimp sitting sloppy sweet ketchup cocktail wait covered lettuce also serviceable new day fine guess took food ordered point realize wine also per small goblet charge bar sensitivity beer think husband someplace good craft nice wine countless city johnny prohibition taproom pope name disappointing really place west philly well bar bit higher ,hate word though ever one ,0,1
159,Positive,ordered provolone cheez whiz instead ask know comes say provolone seriously slightly style onions cheese delight worth size soda one size fries prepared wait fast precious people across street ambiance food ,whiz comes say seriously slightly ,0,1
3910,Negative,larger items menu biggest issue tacos palms folded half means three lucky ordered miniature mention kick anywhere prepare home missing prepared grocery bought chips yes still found average throw spices chunks mango appreciating simplicity sure whatever case stand unique main though cool got paloma ,items menu issue tacos half ,0,1
61,Positive,sangria means spanish wanted drink bite early village led choice let waiter owner tapas urgently insisted octopus clams fried cod sauce crazy octopus pretty crostinis pales though big vat fruit mix fruit choice waiter said best another pitcher white yummy yummy authenticity red ,sangria means bite early village ,0,0
127,Negative,friend town traditional went noon parking bad expected street parking managed block away much line time leaving line forming decor pretty say least guys seemed food seconds around pretty think signs ever back press deporation ignorance far cheese fries diet coke cheesesteak cheese bit different cheesesteak window different fries pay clear prettttty meat gray cut long slices ish chunks really cooked greasy looked wet one end grease napkins good felt cheesesteak american cheese however cheez cheese top really bottom much fries stuck together might back another visiting since right reason food good signs putting ,friend town went parking bad ,1,1
89,Positive,wrote philly missed steak pats cheese steak side ready realize subject cheese love cheese think better northern complaints staff total wiz onward say went way ,missed steak side love staff ,1,1
440,Negative,give place stars takeout guess meat uncooked meat pieces dish eat raw since lunchtime return food stuck hour lunch go place looks nice lazy food properly pretty esp since thai restaurants skillman ,give guess meat pieces eat ,1,1
438,Positive,thai food nj lot prince part close conveniently located cinemas food nuanced lots far tastes delicious nice though mall great ambiance popular spot end year holiday lunches also bring date efficient pleasant full impressive reasonable ,thai nj lot part close ,0,0
1848,Negative,worst coy fish pond enter overall food memorable hot room temperature except broccoli recently second broccoli barely warm filling bugs food plus roof leaking fish pond now water stains ceiling almost tipped forward food boyfriends food people saturday decent highly ill running soon place come back im area im hungry particular craving buffet nothing less ,worst pond enter food except ,1,1
136,Positive,ageless comparison geno less meat meat slightly seasoning wiz bread italian chewy sandwich presented wrapped easy porous meat less tender chess wiz bread crunchy sandwich much smaller wrapper oil makes eating messy general darker ,slightly wiz chewy wrapped easy ,0,0
699,Negative,time list good though apple table cough amuse bean bean thanks cobwebs fancy ahead time kitchen sends coordination place done first sharing plate min next working comes will gap entrees fire food every comes told terrine pig brain value sliced sweet potato ehhh rip pasta anyone home take pay pork diced plate sauce special rye randomly spread plate good perfect place saw place morons website eater especially home go impressed decor presentation plate try hard create new potato maitake sliced worth best really know leave figure hard flavors work worth passed point ,time though table bean thanks ,0,0
748,Positive,try pig worth wait went dinner tonight unassuming street lower inside restaurant unassuming much expecting outdoor back strung christmas server top fan excited cohen bar start delicious tried one take campari vermouth cardamom juice usually taste gin incredible also tried take used sherry ginger also delicious server suggested two small one found much food tasty home leftovers started sizzling sisig soi reviewed time flavorful lovely surprised love spice little someone dish disastrous coconut rice side soothe burning bit meal plate ribs back eat plates big fan ,try pig dinner lower much ,0,1
1242,Negative,last want start service always considered evaluating main reason higher food often highly good prefer able soak came wet together good rated partner tasty crispy got salt peppered several okay maybe overcooked honestly real flavor sauce still found overall restaurant customers establishment got vietnam somewhat robotic served automated ability customers service autopilot everything done personality little eye contact found rather staff huddled front quietly laughing service equal partners decision return willing give one shot norm go elsewhere ,want service reason higher food ,0,1
320,Positive,every eaten fulfilling make land sometimes top whatever never seem pull well influentially serve outside waited line door simply find friendly omeletes fries rock decor bit lose stuff though forward leap lived closer probably often ,every eaten make well waited ,0,1
1203,Negative,giving place stars design venue huge lot details shark protruding crawling wall newspaper clippings end two entry evening went initially impressed two hosts efficiently diners realized ouch lady hostess table swaying gyrating air front perhaps hopes attention next ah remembered party us rot minutes yeah said questioned us real happened party sick sick oysters clam sandwiches eating halfway felt immediately within friends swollen flop nauseous neither word feeling ruin night made waitress news probably blame moderately enjoyed pork sandwich proceed ,giving huge shark two went ,0,1
304,Positive,gem many say amidst real temp door wait waitress came food less got kidding done believe thats done sweet pancakes side turkey chorizo friggin gooey perfect batter sour tone balanced potato cheddar grits adorned mayonnaise sauce hit spot also vanilla egg according cream thunk yeah looking wonderfully special authentic find wait ,say temp came thats sweet ,1,1
176,Negative,interview visit buddy scott take places philly drawn bright neon marquee speed food brought ready minute meant went bad overall dry fries decent also blown away english amazing ,take places philly neon food ,0,0
17,Positive,went sangria tapas birthday pm thursday night one got running late seated arrive pomegranate blueberry sangria fruity fresh entire pitcher cost tapas small split waiter enough food satisfied ordering standout dishes shrimp sauce potatoes fried dishes savory food dish dishes overly overall really great meal left go back another recommended ,sangria tapas birthday pm night ,0,1
1382,Negative,review shocked many enjoy starters something truly farm efforts will saying well time boyfriend really wanted go open opinions someone lives city something hesitantly general discomfort sheer number pork options menu decided polenta eggs dish braised greens sounds delicious utterly disappointing soupy dish greens enough spoon yet ordered looked tasted nothing feel risotto freezer say amazing waitress incredibly brought crisp great bite rest meal satisfying cost even spending money spend time ,review shocked many enjoy starters ,0,1
317,Positive,brunch brunchtime expect fear bring oh thank orange slices tide youre cozy old school time even alive everything feels old food large even place bustling never wait wonderfulness ,bring oh thank orange slices ,0,1
198,Negative,honestly hoopla hopefully going returning gave part little denial disappointed short pretty big guess first sign food may quality momma type patience service cute faced restaurant unfortunately raining went bread stale pepper made calamari casino mozzarella coconut shrimp shrimp whatever although everything tasty obviously frozen appetizers pre made best super chewy even finish food type seafood spinach sounded interesting seafood looks appetizing chewy weird weird yellow thing explain inside looked fresh shrimp scallops super either frozen picture overall great smell actually made little delicious bf got chicken mimosa seemed ended home expensive appetizer one plus byob honest see many chance ,honestly going returning gave disappointed ,1,1
38,Positive,yummyyyy tapas tapas hour pitchers ask anything else mussels succulent moist broth flavor cooked way servings actually putting definitely something visit pieces snail garlic sauce escargot embarrassing garlic plate pairing garlic bread made worth croquettes higher level mozzarella even much ham inside hot melty delicious go cheese ham tomato toast tapas plate whole fan goat cheese ham helped cheese flavor goat cheese tapas chorizo chorizo dish chorizo potato carmalized cut spiciness greasy onion basket bread perfect another visit chorizo potato dish comes pieces though potato starch oily lot flavor bursting pass make bravas drizzle every tapas place ordering probably order patatas though since also helps garlic one night us around sauce mouth undertones broth hits notes elevates little bowl bread winner definitely meatballs meh meatballs commented meatballs order another anytime mango mango sangria reminded one spiked sweet bite probably lemon kept mistaking stronger actually wine probably order dessert venieros across waiter picking us ton little hot belize little jar today fried chicken actually find world never fill also baskets around great come tapas dishes fyi bathroom happy eatings ,tapas pitchers moist broth flavor ,1,1
3693,Negative,arrived wafting aroma permeated throughout richardson table yet bar one stove people started worried sakerinha corona finished caipirinha sakerinha milked corona two pao de bauru feijoada waitresses glancing us hopeful arrive less one fellow ask waitress food minus one waitress us joan stomach called went outside back inside food appeared food good wait salad hour really minus one promptly brings water flagged check left stuffy restaurant ,arrived table bar one people ,0,1
187,Positive,boyfriend guy decided go jasmine whim headed kimmel show absolutely enjoyed got got jasmine rice chicken bring bottle went whim definitely back bottle wine hand byob ,jasmine show absolutely enjoyed rice ,1,1
243,Negative,charm ass small spot greasy tables language tv waitress overwhelmed love latino cooking weak pork chops two cooked spiced slabs side rice beans rice beans city rich latino waste ,greasy tables language waitress two ,0,0
172,Positive,give joey vento politics shove finger since hygiene probably pass select though best steak area said behind dumbfuck cooked perfection first pork sandwich actually compliment staff always patrons well always officer fundraisers lot whether philadelphia police respect lives piece neighborhoods also love old italian men morning coffee breeze lit benches shore feeling clientele days heavy drinking perfect bike ride away ,joey vento probably pass select ,0,0
332,Negative,place two different sometimes lousy percenty go food good times nature maybe two different lead ordered stuffed burger last special came roll second burnt roll sent back rare parts raw want back seem someone else check let go fan atmosphere also fantastic lamb review right done come ,two sometimes go food times ,0,0
189,Positive,friend greeted aromatic delicious food well share orders lemon grass see panaeng curry spring came quickly beautifully fragrant tangy right amount grass order pad see appropriately sweet spicy crisp carrots delicious jasmine ,delicious well share lemon grass ,1,1
480,Negative,big expectations quinoa okay nothing order recreate table ordered unappetizing hearing shoestring fries order fries turned flavorless greasy actually add pepper sort flavor dessert menu pretty good food pretty unappealing seats worn bathrooms better recommend ,expectations okay nothing order table ,0,0
236,Positive,pork chops ten going bland piece sitting lamp prior dela total two ass muy chops flavorful pig served yellow tore tore cooked pig give five bumps pig place small wait full couple right behind us well waiting leaving place sipping surfing walks behind sticks money register laptop table company looked situation situation big frown faces surfing guy got friend tried plantains none us think enough subtract pork chops bueno staff enjoyed back fa sure chop bookmark place ,pork chops piece total ass ,0,0
3178,Negative,americana downhill years seems money replaced gigantic menus skimpy bread now paper bag opted unfortunately ask everything meant given plain baked potato cream butter cream ,years seems money replaced menus ,0,0
309,Positive,enthusiastic one yelpers brian come laura texted brunch hells walk slight line older man comes tray coffees saw rained went inside umbrella french fries man cinnamon bites someone else offered us orange fresh strawberries mean stop influx lovely bites mind one bit line maybe minutes think felt customer served snacking still food geared walnut man amazing quickly arrived moist hot flavorful mildly even think say tables food reluctant move newly acquired pancake butt oh rainy sunday hopefully soon return still egg cream ,yelpers line comes cinnamon bites ,0,0
1925,Negative,cheesesteaks next day want cheesesteak places philly parked tried first cheesesteaks high okay similar thing many little pa probably make better home cheesesteak philly expected ,cheesesteaks want cheesesteak places philly ,0,0
224,Positive,words dogs go review stop right hot matter delicious oh already street already shop standards englander dixie missing chicago ones steakhouse chili supreme reviews chili something tried pack much sweet plain combines dog also sides throw charge added pickle hits park flavor take business small table two difficult impossible another must owner importantly translates cooking lastly via nice welcome near weenie now saves whenever nostalgic feeling certainly worthy challenger ,words dogs stop right hot ,1,1
629,Negative,yelp friday without settled table stools sitting bar duration meal ass numb trifecta enjoyed problem housing much servers ordered shank potatoes overpriced also wowed meal according polling meal yelpers ,yelp settled table sitting bar ,1,1
283,Positive,neighborhood brunch place amazing take almost guests warm sunny menu pancakes beef hash flavored butters pancakes pancakes ever add syrup long however will served orange slices cookies slices care ,neighborhood place amazing warm sunny ,1,1
314,Negative,looking really looking forward good wait coffee orange cookies fries ice water coming increase star rating mean everyone people really wanted needed shitty wierd hair pancake ordered supreme good wanted good really fluffy promised certainly feel pancake gf ordered omelet got plastic sigh egg cream egg cream admit service pocket almost feeling liking kind joint ,wait coffee fries ice water ,1,1
55,Positive,saturday evening without reservation time let us together still watch flamenco show really bartender really nice appreciated great love got crepes sangria impressed huge bin fruit bar scoop tapping sangria really try ,evening without reservation together watch ,0,0
477,Negative,place snacks friend yesterday asked go roof deck way went hostess wrong area bouncer us hostess go upstairs sticky bar bartenders walked numerous never saying word finally confused state stopped male tracks hello order put took insisted give hold thought inch lamb pumps wearing far began tending bar us anything sky blue nothing dirty bar uninterested inattentive mediocre bar bites wine food ,friend yesterday asked go roof ,0,0
188,Positive,best philadelphia much shoots will love let upgrade papaya said award winning tom yum soup good gave oil exactly rolls little none forever loyal customer fan jasmine wanted rice dish pad good order ,best philadelphia much love award ,1,1
881,Negative,everyone place must lack spots food okay dinner somewhere blocks pressed dessert emma last night service significantly reason resolving much hurry leave change though second star ,everyone lack spots food okay ,0,0
54,Positive,came sat bar enjoyed tapas drinks awesome pitcher pomegranate equally delicious compare apples wolverines things cheese plate cheese unimpressive asparagus potatoes hand sooped bread yum yum read seating strange time sangria begs outside ,came enjoyed tapas drinks awesome ,1,1
1445,Negative,three brunch starving finally sat usually means put mouth small next window servers nice ordered pancakes bf ordered eggs pancakes rich meal eggs benedict hand great finished instantly kind wait blown think wait least one star sadly right now extravagant ,three brunch starving finally sat ,0,0
510,Positive,continental one fave spots philly everything swingy chairs food must haves hawaii cocktail lobster cheese wasabi fries cheesesteak eggroll hard bar nice spot evening spend find cozy ,continental everything chairs must cocktail ,0,0
829,Negative,hello last night meal float service white arrived members street station given menus ordering actually nothing noted new policy priced meal must server offered checks manager came told us good people food front tolerable priced fix options next since la la carte menu items available carte available groups smaller mother burrata sister scallops thinking table bottles wine visitors job tell experience enough silly rules quality table look jerks ,service arrived street given menus ,0,0
590,Positive,make greek good feels outstanding clay pots ceiling ok nothing friends ordering appetizers split main whole lamb fried zucchini grilled octopus thoroughly experience say back ,make greek good feels outstanding ,1,1
2024,Negative,intimate friend place hood will say heels pasta screaming infinite times banshee wine menu well experience downtown considered average best since high opinion solid place eats definitely place seek craving ,friend will pasta screaming times ,0,0
650,Positive,right now atmosphere special inviting staff warm knowledgeable taken another level include moussaka poikilia dolmathes grilled baby chops room dessert recommend towering galaktobourekakia phyllo filled greek custard mountain honey ,right staff warm moussaka grilled ,1,1
